cifname,value1,value2
T3_303_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,2.24,0.1588638612
T3_303_NH2_CHO_H_H-L2_212_CHO_H_H-HCB_A-AA,2.974,0.2360987592
T3_303_NH2_NO_H_H-L2_207_CHO_H_H-HCB_A-AA,2.316,0.0867250124
T3_303_NH2_CHO_H_H-L2_214_CHO_H_H-HCB_A-AA,1.811,0.0784434926
T3_303_NH2_H_H_H-L2_205_CHO_H_H-HCB_A-AA,2.22,0.1293151264
T3_303_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,2.051,0.0596032477
T3_303_NH2_NO2_H_H-L2_206_CHO_H_H-HCB_A-AA,2.327,0.1663632505
T3_303_NH2_F_H_H-L2_217_CHO_H_H-HCB_A-AA,2.578,0.2695937665
T3_303_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,2.683,0.2065090264
T3_303_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,1.675,0.1111267161
T3_303_NH2_Cl_H_H-L2_212_CHO_H_H-HCB_A-AA,2.503,0.2151444774
T3_303_NH2_H_H_H-L2_212_CHO_H_H-HCB_A-AA,2.686,0.2055646275
T3_303_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,2.193,0.174888
T3_303_NH2_CHO_H_H-L2_202_CHO_H_H-HCB_A-AA,1.835,0.1688574878
T3_303_NH2_CHS_H_H-L2_213_CHO_H_H-HCB_A-AA,2.398,0.2887440357
T3_303_NH2_COOH_H_H-L2_209_CHO_H_H-HCB_A-AA,3.011,0.2335554898
T3_303_NH2_CHO_H_H-L2_206_CHO_H_H-HCB_A-AA,2.352,0.2751462757
T3_303_NH2_OH_H_H-L2_213_CHO_H_H-HCB_A-AA,2.036,0.1959686916
T3_303_NH2_COOH_H_H-L2_213_CHO_H_H-HCB_A-AA,2.41,0.1227419003
T3_303_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,2.136,0.1789605193
T3_303_NH2_COOH_H_H-L2_210_CHO_H_H-HCB_A-AA,1.92,0.0997043983
T3_303_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,2.457,0.1722238991
T3_303_NH2_COOH_H_H-L2_215_CHO_H_H-HCB_A-AA,1.894,0.238736
T3_303_NH2_SO2H_H_H-L2_202_CHO_H_H-HCB_A-AA,2.01,0.0885496137
T3_303_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,1.571,0.0604059131
T3_303_NH2_CHS_H_H-L2_214_CHO_H_H-HCB_A-AA,1.854,0.2127492062
T3_303_NH2_EPO_H_H-L2_214_CHO_H_H-HCB_A-AA,2.276,0.1210348734
T3_303_NH2_NO2_H_H-L2_210_CHO_H_H-HCB_A-AA,1.909,0.0986749886
T3_303_NH2_OH_H_H-L2_201_CHO_H_H-HCB_A-AA,2.35,0.2431576348
T3_303_NH2_CHO_H_H-L2_211_CHO_H_H-HCB_A-AA,2.062,0.0338853984
T3_303_NH2_OCOCH3_H_H-L2_211_CHO_H_H-HCB_A-AA,3.857,0.335614841
T3_303_NH2_EPO_H_H-L2_201_CHO_H_H-HCB_A-AA,3.394,0.2635519254
T3_303_NH2_F_H_H-L2_201_CHO_H_H-HCB_A-AA,2.404,0.0690381768
T3_303_NH2_COOH_H_H-L2_214_CHO_H_H-HCB_A-AA,1.804,0.1047365339
T3_303_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,1.75,0.1627574269
T3_303_NH2_NO2_H_H-L2_216_CHO_H_H-HCB_A-AA,1.95,0.1225062356
T3_303_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,2.825,0.1340695921
T3_303_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,1.755,0.090805332
