cifname,value1,value2
T3_303_NH2_F_H_H-L2_213_CHO_H_H-HCB_A-AA,4.32421875,26.42579
T3_303_NH2_F_H_H-L2_214_CHO_H_H-HCB_A-AA,4.53515625,22.58025
T3_303_NH2_F_H_H-L2_215_CHO_H_H-HCB_A-AA,2.53515625,22.58023
T3_303_NH2_F_H_H-L2_216_CHO_H_H-HCB_A-AA,3.6328125,22.58019
T3_303_NH2_F_H_H-L2_217_CHO_H_H-HCB_A-AA,4.30078125,28.16151
T3_303_NH2_H_H_H-L2_201_CHO_H_H-HCB_A-AA,3.19921875,29.62455
T3_303_NH2_H_H_H-L2_202_CHO_H_H-HCB_A-AA,4.484375,23.11046
T3_303_NH2_H_H_H-L2_203_CHO_H_H-HCB_A-AA,4.8359375,29.58964
T3_303_NH2_H_H_H-L2_204_CHO-HCB_A-AA,1.7509765625,18.70892
T3_303_NH2_H_H_H-L2_205_CHO_H_H-HCB_A-AA,6.765625,25.45503
T3_303_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,4.4375,25.80354
T3_303_NH2_H_H_H-L2_207_CHO_H_H-HCB_A-AA,4.28515625,29.58964
T3_303_NH2_H_H_H-L2_208_CHO_H_H-HCB_A-AA,5.1015625,29.58964
T3_303_NH2_H_H_H-L2_209_CHO_H_H-HCB_A-AA,4.7421875,27.92707
T3_303_NH2_H_H_H-L2_210_CHO_H_H-HCB_A-AA,3.037109375,22.58019
T3_303_NH2_H_H_H-L2_211_CHO_H_H-HCB_A-AA,3.64453125,19.16605
T3_303_NH2_H_H_H-L2_212_CHO_H_H-HCB_A-AA,4.08203125,27.97925
T3_303_NH2_H_H_H-L2_213_CHO_H_H-HCB_A-AA,5.3984375,26.42579
T3_303_NH2_H_H_H-L2_214_CHO_H_H-HCB_A-AA,2.076171875,22.58025
T3_303_NH2_H_H_H-L2_215_CHO_H_H-HCB_A-AA,3.693359375,22.58023
T3_303_NH2_H_H_H-L2_216_CHO_H_H-HCB_A-AA,2.041015625,22.58019
T3_303_NH2_H_H_H-L2_217_CHO_H_H-HCB_A-AA,4.37109375,28.16151
T3_303_NH2_I_H_H-L2_201_CHO_H_H-HCB_A-AA,3.328125,29.62455
T3_303_NH2_I_H_H-L2_202_CHO_H_H-HCB_A-AA,4.3515625,21.82797
T3_303_NH2_I_H_H-L2_203_CHO_H_H-HCB_A-AA,5.3203125,29.58964
T3_303_NH2_I_H_H-L2_204_CHO-HCB_A-AA,2.23046875,15.35093
T3_303_NH2_I_H_H-L2_205_CHO_H_H-HCB_A-AA,6.453125,25.45503
T3_303_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,3.2734375,25.38124
T3_303_NH2_I_H_H-L2_207_CHO_H_H-HCB_A-AA,4.34375,29.58964
T3_303_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,5.1171875,29.58964
T3_303_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,4.3046875,27.92707
T3_303_NH2_I_H_H-L2_210_CHO_H_H-HCB_A-AA,4.8984375,21.43655
T3_303_NH2_I_H_H-L2_211_CHO_H_H-HCB_A-AA,4.44921875,19.16605
T3_303_NH2_I_H_H-L2_212_CHO_H_H-HCB_A-AA,4.34765625,27.97925
T3_303_NH2_I_H_H-L2_213_CHO_H_H-HCB_A-AA,4.640625,26.40979
T3_303_NH2_I_H_H-L2_214_CHO_H_H-HCB_A-AA,3.14453125,21.49474
T3_303_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,3.966796875,21.48239
T3_303_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,2.505859375,21.43655
T3_303_NH2_I_H_H-L2_217_CHO_H_H-HCB_A-AA,4.58984375,28.16151
T3_303_NH2_NH2_H_H-L2_201_CHO_H_H-HCB_A-AA,3.478515625,29.62455
T3_303_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,3.490234375,23.11046
T3_303_NH2_NH2_H_H-L2_203_CHO_H_H-HCB_A-AA,4.34765625,29.58964
T3_303_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,5.015625,17.41509
T3_303_NH2_NH2_H_H-L2_205_CHO_H_H-HCB_A-AA,4.40234375,25.45503
