cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_SH_H_H-L2_203_CHO_H_H-HCB_A-AA,0.53568,2511.52,1.01113,22.21663,1.728
T3_301_NH2_SO2H_H_H-L2_216_CHO_H_H-HCB_A-AA,0.41124,3009.05,0.711332,13.87389,1.068
T3_301_NH2_OMe_H_H-L2_202_CHO_H_H-HCB_A-AA,0.44852,4080.17,0.983713,15.39371,1.383
T3_301_NH2_NO2_H_H-L2_204_CHO-HCB_A-AA,0.32238,3238.65,0.516444,9.52171,0.657
T3_301_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5401,3426.77,1.27811,22.37408,1.785
T3_301_NH2_NO2_H_H-L2_202_CHO_H_H-HCB_A-AA,0.43444,3157.98,0.829897,16.03786,1.174
T3_301_NH2_Cl_H_H-L2_213_CHO_H_H-HCB_A-AA,0.4762,2304.34,0.809389,19.08362,1.442
T3_301_NH2_CN_H_H-L2_212_CHO_H_H-HCB_A-AA,0.45688,2183.02,0.746604,20.64158,1.716
T3_301_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,0.40664,1879.13,0.518726,15.25749,0.964
T3_301_NH2_NH2_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53286,2216.74,0.938196,22.24812,1.677
T3_301_NH2_CHS_H_H-L2_206_CHO_H_H-HCB_A-AA,0.47992,2930.06,0.898199,18.64258,1.479
T3_301_NH2_CH3_H_H-L2_215_CHO_H_H-HCB_A-AA,0.4599,4310.19,1.03252,15.65679,1.258
T3_301_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,0.4642,1819.69,0.645361,20.56711,1.825
T3_301_NH2_CHS_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42632,2974.21,0.762103,15.17338,1.148
T3_301_NH2_F_H_H-L2_212_CHO_H_H-HCB_A-AA,0.4666,2347.62,0.77356,20.64158,1.861
T3_301_NH2_COOH_H_H-L2_204_CHO-HCB_A-AA,0.30562,3415.88,0.491521,8.76847,0.647
T3_301_NH2_CH3_H_H-L2_211_CHO_H_H-HCB_A-AA,0.3703,3520.77,0.643051,12.34789,1.618
T3_301_NH2_EPO_H_H-L2_216_CHO_H_H-HCB_A-AA,0.44172,4054.16,0.915597,14.80323,1.297
T3_301_NH2_OH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42056,2334.02,0.653129,15.26692,0.962
T3_301_NH2_COOH_H_H-L2_210_CHO_H_H-HCB_A-AA,0.41746,3121.82,0.771336,14.61923,1.136
T3_301_NH2_OH_H_H-L2_203_CHO_H_H-HCB_A-AA,0.53844,2630.68,1.05653,22.21663,1.694
T3_301_NH2_OCOCH3_H_H-L2_215_CHO_H_H-HCB_A-AA,0.47138,6027.0,1.03967,13.8059,1.822
T3_301_NH2_OCOCH3_H_H-L2_211_CHO_H_H-HCB_A-AA,0.39242,5210.98,0.69024,12.58992,2.309
T3_301_NH2_NH2_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40982,2399.65,0.641922,15.26686,1.156
T3_301_NH2_OH_H_H-L2_217_CHO_H_H-HCB_A-AA,0.49738,2464.07,0.91331,20.82472,2.153
T3_301_NH2_NO_H_H-L2_205_CHO_H_H-HCB_A-AA,0.44796,2385.5,0.730757,18.22096,1.538
T3_301_NH2_H_H_H-L2_212_CHO_H_H-HCB_A-AA,0.47116,2433.25,0.811309,20.64158,2.0
T3_301_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.4641,2200.65,0.752286,20.64158,1.993
