cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_H_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45694,2612.87,0.807985,18.22096,1.792
T3_301_NH2_NO_H_H-L2_216_CHO_H_H-HCB_A-AA,0.4101,2298.59,0.609496,15.26686,1.094
T3_301_NH2_NO_H_H-L2_205_CHO_H_H-HCB_A-AA,0.44796,2385.5,0.730757,18.22096,1.677
T3_301_NH2_OCOCH3_H_H-L2_210_CHO_H_H-HCB_A-AA,0.4657,6105.19,1.03176,13.67896,2.717
T3_301_NH2_SH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41646,2229.8,0.61273,15.26692,1.195
T3_301_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,0.46932,2014.42,0.709754,20.56711,1.856
T3_301_NH2_Br_H_H-L2_202_CHO_H_H-HCB_A-AA,0.40584,1949.98,0.538401,15.69348,1.088
T3_301_NH2_H_H_H-L2_202_CHO_H_H-HCB_A-AA,0.42734,2591.34,0.73239,15.79061,1.201
T3_301_NH2_Cl_H_H-L2_209_CHO_H_H-HCB_A-AA,0.4719,2194.9,0.778268,20.56711,1.99
T3_301_NH2_OH_H_H-L2_207_CHO_H_H-HCB_A-AA,0.52898,2662.5,1.04556,22.21663,1.67
T3_301_NH2_OH_H_H-L2_204_CHO-HCB_A-AA,0.31834,2631.77,0.458303,10.55279,0.558
T3_301_NH2_COOH_H_H-L2_213_CHO_H_H-HCB_A-AA,0.49284,3320.99,1.0614,19.29197,1.661
T3_301_NH2_I_H_H-L2_207_CHO_H_H-HCB_A-AA,0.51564,2006.26,0.800993,22.21663,1.503
T3_301_NH2_Cl_H_H-L2_201_CHO_H_H-HCB_A-AA,0.5296,2139.36,0.894393,22.24812,1.787
T3_301_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,0.4005,2258.19,0.603187,14.60687,0.963
T3_301_NH2_CHO_H_H-L2_215_CHO_H_H-HCB_A-AA,0.431,3124.57,0.811556,15.48639,1.12
T3_301_NH2_H_H_H-L2_210_CHO_H_H-HCB_A-AA,0.42122,2565.02,0.696227,15.26686,1.19
T3_301_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46542,2269.51,0.774794,20.64158,2.194
T3_301_NH2_CHO_H_H-L2_201_CHO_H_H-HCB_A-AA,0.54714,2968.29,1.18285,22.40536,1.902
T3_301_NH2_NO_H_H-L2_201_CHO_H_H-HCB_A-AA,0.52964,2149.56,0.904815,22.24812,1.792
T3_301_NH2_SO2H_H_H-L2_201_CHO_H_H-HCB_A-AA,0.539,2898.4,1.11305,22.0622,2.032
T3_301_NH2_OH_H_H-L2_208_CHO_H_H-HCB_A-AA,0.52888,2681.79,1.06111,22.21663,1.748
T3_301_NH2_H_H_H-L2_217_CHO_H_H-HCB_A-AA,0.50312,2608.08,0.959,20.82472,2.586
T3_301_NH2_NO2_H_H-L2_216_CHO_H_H-HCB_A-AA,0.42894,3144.09,0.787182,15.52143,1.208
T3_301_NH2_OMe_H_H-L2_207_CHO_H_H-HCB_A-AA,0.55956,4430.31,1.51976,22.48652,2.298
T3_301_NH2_OH_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53368,2198.34,0.937619,22.24812,1.66
T3_301_NH2_CHO_H_H-L2_211_CHO_H_H-HCB_A-AA,0.34334,2514.55,0.505375,12.15739,1.428
T3_301_NH2_SO2H_H_H-L2_213_CHO_H_H-HCB_A-AA,0.486,3154.66,0.995589,18.70067,1.761
T3_301_NH2_CHO_H_H-L2_214_CHO_H_H-HCB_A-AA,0.43184,3138.64,0.813138,15.48641,1.135
T3_301_NH2_NO2_H_H-L2_210_CHO_H_H-HCB_A-AA,0.42526,3114.56,0.784079,15.52143,1.342
T3_301_NH2_I_H_H-L2_217_CHO_H_H-HCB_A-AA,0.48578,1908.77,0.712597,20.82472,2.234
T3_301_NH2_Cl_H_H-L2_204_CHO-HCB_A-AA,0.30154,2333.31,0.392107,9.66353,0.648
T3_301_NH2_SO2H_H_H-L2_215_CHO_H_H-HCB_A-AA,0.41414,2950.68,0.716349,13.96804,1.24
T3_301_NH2_OH_H_H-L2_206_CHO_H_H-HCB_A-AA,0.47116,2234.24,0.749952,18.47056,1.445
T3_301_NH2_F_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53538,2247.18,0.93653,22.24812,1.68
T3_301_NH2_EPO_H_H-L2_202_CHO_H_H-HCB_A-AA,0.4478,4128.9,0.966264,15.17686,1.827
T3_301_NH2_NO_H_H-L2_202_CHO_H_H-HCB_A-AA,0.413,2259.13,0.63924,15.79061,1.089
T3_301_NH2_F_H_H-L2_206_CHO_H_H-HCB_A-AA,0.47292,2248.55,0.748825,18.47056,1.455
T3_301_NH2_H_H_H-L2_208_CHO_H_H-HCB_A-AA,0.53476,2841.64,1.11791,22.21663,1.705
