cifname,Pore_diameters,GCMC吸附
T3_301_NH2_OH_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.356
T3_301_NH2_OMe_H_H-L2_201_CHO_H_H-HCB_A-AA,22.51766,2.316
T3_301_NH2_OMe_H_H-L2_202_CHO_H_H-HCB_A-AA,15.39371,1.759
T3_301_NH2_OMe_H_H-L2_203_CHO_H_H-HCB_A-AA,22.48652,2.553
T3_301_NH2_OMe_H_H-L2_204_CHO-HCB_A-AA,8.99474,0.976
T3_301_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,18.54296,2.505
T3_301_NH2_OMe_H_H-L2_206_CHO_H_H-HCB_A-AA,18.71923,1.986
T3_301_NH2_OMe_H_H-L2_207_CHO_H_H-HCB_A-AA,22.48652,2.298
T3_301_NH2_OMe_H_H-L2_208_CHO_H_H-HCB_A-AA,22.48652,2.528
T3_301_NH2_OMe_H_H-L2_209_CHO_H_H-HCB_A-AA,20.85633,3.034
T3_301_NH2_OMe_H_H-L2_210_CHO_H_H-HCB_A-AA,15.01392,1.649
T3_301_NH2_OMe_H_H-L2_211_CHO_H_H-HCB_A-AA,12.33167,1.659
T3_301_NH2_OMe_H_H-L2_212_CHO_H_H-HCB_A-AA,20.92987,2.806
T3_301_NH2_OMe_H_H-L2_213_CHO_H_H-HCB_A-AA,19.39274,2.032
T3_301_NH2_OMe_H_H-L2_214_CHO_H_H-HCB_A-AA,15.01392,1.404
T3_301_NH2_OMe_H_H-L2_215_CHO_H_H-HCB_A-AA,15.01392,1.435
T3_301_NH2_OMe_H_H-L2_216_CHO_H_H-HCB_A-AA,15.01392,1.495
T3_301_NH2_OMe_H_H-L2_217_CHO_H_H-HCB_A-AA,21.11075,3.197
T3_301_NH2_SH_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.8
T3_301_NH2_SH_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.246
T3_301_NH2_SH_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.859
