cifname,Pore_diameters,GCMC吸附
T3_301_NH2_NO2_H_H-L2_202_CHO_H_H-HCB_A-AA,16.03786,1.352
T3_301_NH2_NO2_H_H-L2_203_CHO_H_H-HCB_A-AA,22.39933,2.033
T3_301_NH2_NO2_H_H-L2_204_CHO-HCB_A-AA,9.52171,0.706
T3_301_NH2_NO2_H_H-L2_205_CHO_H_H-HCB_A-AA,18.43909,1.955
T3_301_NH2_NO2_H_H-L2_206_CHO_H_H-HCB_A-AA,18.67017,1.681
T3_301_NH2_NO2_H_H-L2_207_CHO_H_H-HCB_A-AA,22.39933,1.912
T3_301_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,22.39933,1.921
T3_301_NH2_NO2_H_H-L2_209_CHO_H_H-HCB_A-AA,20.76294,2.325
T3_301_NH2_NO2_H_H-L2_210_CHO_H_H-HCB_A-AA,15.52143,1.342
T3_301_NH2_NO2_H_H-L2_211_CHO_H_H-HCB_A-AA,12.19645,1.525
T3_301_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,20.83678,2.334
T3_301_NH2_NO2_H_H-L2_213_CHO_H_H-HCB_A-AA,19.29298,1.713
T3_301_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,15.52149,1.215
T3_301_NH2_NO2_H_H-L2_215_CHO_H_H-HCB_A-AA,15.52147,1.091
T3_301_NH2_NO2_H_H-L2_216_CHO_H_H-HCB_A-AA,15.52143,1.208
T3_301_NH2_NO2_H_H-L2_217_CHO_H_H-HCB_A-AA,21.01838,2.569
T3_301_NH2_NO_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.792
T3_301_NH2_NO_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.089
T3_301_NH2_NO_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.925
T3_301_NH2_NO_H_H-L2_204_CHO-HCB_A-AA,9.73442,0.634
T3_301_NH2_NO_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.677
T3_301_NH2_NO_H_H-L2_206_CHO_H_H-HCB_A-AA,18.46437,1.427
T3_301_NH2_NO_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.587
T3_301_NH2_NO_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.693
T3_301_NH2_NO_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.071
T3_301_NH2_NO_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.147
T3_301_NH2_NO_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.258
T3_301_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.134
T3_301_NH2_NO_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.448
T3_301_NH2_NO_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,1.033
T3_301_NH2_NO_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.008
T3_301_NH2_NO_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.094
T3_301_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.438
T3_301_NH2_OCOCH3_H_H-L2_201_CHO_H_H-HCB_A-AA,21.70494,3.349
T3_301_NH2_OCOCH3_H_H-L2_202_CHO_H_H-HCB_A-AA,14.05431,3.202
T3_301_NH2_OCOCH3_H_H-L2_203_CHO_H_H-HCB_A-AA,21.57669,3.674
T3_301_NH2_OCOCH3_H_H-L2_204_CHO-HCB_A-AA,8.49312,1.262
T3_301_NH2_OCOCH3_H_H-L2_205_CHO_H_H-HCB_A-AA,17.53605,4.117
T3_301_NH2_OCOCH3_H_H-L2_206_CHO_H_H-HCB_A-AA,17.40273,3.391
T3_301_NH2_OCOCH3_H_H-L2_207_CHO_H_H-HCB_A-AA,21.57669,3.974
T3_301_NH2_OCOCH3_H_H-L2_208_CHO_H_H-HCB_A-AA,21.57669,3.941
T3_301_NH2_OCOCH3_H_H-L2_209_CHO_H_H-HCB_A-AA,21.03121,5.055
T3_301_NH2_OCOCH3_H_H-L2_210_CHO_H_H-HCB_A-AA,13.67896,2.717
T3_301_NH2_OCOCH3_H_H-L2_211_CHO_H_H-HCB_A-AA,12.58992,3.385
T3_301_NH2_OCOCH3_H_H-L2_212_CHO_H_H-HCB_A-AA,21.1042,4.997
T3_301_NH2_OCOCH3_H_H-L2_213_CHO_H_H-HCB_A-AA,18.38414,3.274
T3_301_NH2_OCOCH3_H_H-L2_214_CHO_H_H-HCB_A-AA,13.79938,2.543
T3_301_NH2_OCOCH3_H_H-L2_215_CHO_H_H-HCB_A-AA,13.8059,2.546
T3_301_NH2_OCOCH3_H_H-L2_216_CHO_H_H-HCB_A-AA,13.67896,2.401
T3_301_NH2_OCOCH3_H_H-L2_217_CHO_H_H-HCB_A-AA,21.28373,4.957
T3_301_NH2_OH_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.66
T3_301_NH2_OH_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.059
T3_301_NH2_OH_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.882
T3_301_NH2_OH_H_H-L2_204_CHO-HCB_A-AA,10.55279,0.558
T3_301_NH2_OH_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.626
T3_301_NH2_OH_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.445
