cifname,Fraction,Surface,Volume,Diameter,N2absolute
S4_PORP_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.24536,1449.22,0.263205,10.33644,1.757
S4_PTCA_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,0.48814,2286.28,0.839903,20.22105,2.682
S4_TBPR_NH2_H-L2_209_CHO_H_H-SQL_A-AA,0.46768,2053.28,0.714896,18.35415,3.375
S4_TBPR_NH2_H-L2_208_CHO_H_H-SQL_A-AA,0.50208,2236.62,0.840862,20.09078,2.896
S4_401_NH2_H_H-L2_210_CHO_H_H-SQL_A-AA,0.4588,2229.61,0.757302,17.47513,3.887
S4_PTCA_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,0.43646,2179.51,0.680305,17.75597,2.732
S4_TBPR_NH2_H-L2_212_CHO_H_H-SQL_A-AA,0.45992,2045.48,0.690679,18.50012,3.654
S4_PTCA_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,0.35996,2166.55,0.488494,14.05529,1.418
S4_PORP_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,0.30334,1661.19,0.359273,12.47917,2.593
S4_401_NH2_H_H-L2_209_CHO_H_H-SQL_A-AA,0.49144,2219.56,0.853311,19.66973,4.912
S4_TBPR_NH2_H-L2_215_CHO_H_H-SQL_A-AA,0.43586,1956.68,0.614599,17.1407,2.374
S4_PORP_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,0.36102,1853.21,0.481511,14.18336,2.265
S4_PTCA_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,0.42108,2065.31,0.619355,17.27083,2.259
S4_PORP_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,0.25484,1452.49,0.272428,11.25041,1.744
S4_PORP_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,0.3612,1853.48,0.476429,14.18336,2.145
S4_401_NH2_H_H-L2_206_CHO_H_H-SQL_A-AA,0.49094,2152.72,0.820234,19.24659,4.49
S4_PTCA_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,0.44422,2141.41,0.689392,18.6294,2.952
S4_401_NH2_H_H-L2_202_CHO_H_H-SQL_A-AA,0.46206,2232.63,0.777108,17.86097,3.886
S4_401_NH2_H_H-L2_201_CHO_H_H-SQL_A-AA,0.52584,2172.12,0.927418,21.39229,4.756
S4_TBPR_NH2_H-L2_201_CHO_H_H-SQL_A-AA,0.50488,1984.96,0.783261,20.07169,2.998
S4_TBPR_NH2_H-L2_211_CHO_H_H-SQL_A-AA,0.38564,1781.24,0.47683,16.1649,2.615
S4_401_NH2_H_H-L2_208_CHO_H_H-SQL_A-AA,0.52208,2377.76,0.996987,21.41054,4.543
S4_PORP_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,0.24646,1488.58,0.263469,10.33644,1.573
S4_401_NH2_H_H-L2_204_CHO-SQL_A-AA,0.4106,2246.04,0.635678,15.38552,3.008
S4_PTCA_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.41698,2098.44,0.614893,16.29419,2.255
S4_PORP_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,0.32674,1763.1,0.407878,12.84794,2.577
S4_PORP_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,0.36764,1928.6,0.482297,14.18336,2.267
S4_TBPR_NH2_H-L2_203_CHO_H_H-SQL_A-AA,0.50926,2189.89,0.842241,20.09078,3.193
S4_PTCA_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,0.4508,2072.86,0.679291,18.06371,2.437
